method,score,call_rate,detector_calls,detector_call_savings,split,subset,samples,tp,fp,tn,fn,accuracy,precision,recall_tpr,fpr,tnr,f1,balanced_accuracy,mcc,yes_rate
full_tdev,lh_shape_pope_layers_22_31,1.0,9000,0.0,adversarial,negative_related_present,1272,0,133,1139,0,0.8954402515723271,0.0,0.0,0.10455974842767296,0.8954402515723271,0.0,0.44772012578616355,0.0,0.10455974842767296
full_tdev,lh_shape_pope_layers_22_31,1.0,9000,0.0,adversarial,negative_absent_plain,228,0,6,222,0,0.9736842105263158,0.0,0.0,0.02631578947368421,0.9736842105263158,0.0,0.4868421052631579,0.0,0.02631578947368421
full_tdev,lh_shape_pope_layers_22_31,1.0,9000,0.0,popular,all,3000,1210,63,1437,290,0.8823333333333333,0.950510604870385,0.8066666666666666,0.042,0.958,0.8727010457987739,0.8823333333333333,0.7735761066657176,0.42433333333333334
full_tdev,lh_shape_pope_layers_22_31,1.0,9000,0.0,popular,positive,1500,1210,0,0,290,0.8066666666666666,1.0,0.8066666666666666,0.0,0.0,0.8929889298892989,0.4033333333333333,0.0,0.8066666666666666
full_tdev,lh_shape_pope_layers_22_31,1.0,9000,0.0,popular,negative,1500,0,63,1437,0,0.958,0.0,0.0,0.042,0.958,0.0,0.479,0.0,0.042
full_tdev,lh_shape_pope_layers_22_31,1.0,9000,0.0,popular,negative_related_present,980,0,56,924,0,0.9428571428571428,0.0,0.0,0.05714285714285714,0.9428571428571428,0.0,0.4714285714285714,0.0,0.05714285714285714
full_tdev,lh_shape_pope_layers_22_31,1.0,9000,0.0,popular,negative_absent_plain,520,0,7,513,0,0.9865384615384616,0.0,0.0,0.013461538461538462,0.9865384615384616,0.0,0.4932692307692308,0.0,0.013461538461538462
full_tdev,lh_shape_pope_layers_22_31,1.0,9000,0.0,random,all,3000,1210,29,1471,290,0.8936666666666667,0.976594027441485,0.8066666666666666,0.019333333333333334,0.9806666666666667,0.8835341365461847,0.8936666666666666,0.7995296362896048,0.413
full_tdev,lh_shape_pope_layers_22_31,1.0,9000,0.0,random,positive,1500,1210,0,0,290,0.8066666666666666,1.0,0.8066666666666666,0.0,0.0,0.8929889298892989,0.4033333333333333,0.0,0.8066666666666666
full_tdev,lh_shape_pope_layers_22_31,1.0,9000,0.0,random,negative,1500,0,29,1471,0,0.9806666666666667,0.0,0.0,0.019333333333333334,0.9806666666666667,0.0,0.49033333333333334,0.0,0.019333333333333334
