score,overall_auroc,within_bin_auroc,matched_pair_auroc,matched_pair_count,residual_auroc
pas_layer0_hallu_score,0.8348587627584251,0.6049458059257371,0.5833404151841708,2930025,0.5755254952751574
svar_layer0_hallu_score,0.833643007429145,0.5833834432706971,0.5758824583407991,2930025,0.5606572415094144
ic_hallu_score,0.7761007170927505,0.6901182128172711,0.7028980981390944,2930025,0.6330250373078388
glsim_local_hallu_score,0.7723919200643683,0.5612837351926722,0.5930812877023234,2930025,0.6000531782469872
entropy_hallu_score,0.7205922255178727,0.6409088330780022,0.6545254733321388,2930025,0.6330911686122669
nll_hallu_score,0.7113877101800806,0.6392850737905965,0.6523828294980418,2930025,0.629294966570043
beyond_adscgc_hallu_score,0.6925725806634677,0.5122271366485434,0.5234596974428546,2930025,0.5209659236356596
lh_shape_linear_layers_31,0.8563175273288318,0.7282407051053786,0.7209668859480721,2930025,0.6512685991029324
lh_shape_linear_layers_22_31,0.8693306292620616,0.7548022763699984,0.7450523459697442,2930025,0.6637774799726306
