score,overall_auroc,within_bin_auroc,matched_pair_auroc,matched_pair_count,residual_auroc
training_free_layer22_mean_heads_entropy,0.44898210925232995,0.4373659503635912,0.45261098454791343,2930025,0.4802825658857729
training_free_layer22_mean_heads_neg_top1_mass,0.4407844992722242,0.4686615021650102,0.4728369211866793,2930025,0.4833443227410148
training_free_layer22_mean_heads_neg_top5_mass,0.4385263221374361,0.44605772631190127,0.46098565711896655,2930025,0.48599292969573393
training_free_layer22_mean_heads_neg_max_over_mea,0.4407844791837356,0.4686615021650102,0.4728369211866793,2930025,0.4833443428295034
training_free_layer31_mean_heads_entropy,0.5215009001752178,0.48468334101915866,0.4971976348324673,2930025,0.49920226602972495
training_free_layer31_mean_heads_neg_top1_mass,0.5266842324428569,0.5209678570483056,0.5299169802305441,2930025,0.5176567469107369
training_free_layer31_mean_heads_neg_top5_mass,0.5452262790456192,0.48697645379845794,0.5011592051262361,2930025,0.5065852375764098
training_free_layer31_mean_heads_neg_max_over_mea,0.5266842424871011,0.5209678570483056,0.5299168095835359,2930025,0.5176567669992256
split_selected_layers_31_top1,0.6346354510838975,0.5828264719747243,0.595861468758799,2930025,0.5861460180407082
split_selected_layers_31_top3,0.6318254933888483,0.5805072689445404,0.5936505661214495,2930025,0.5858857314940875
split_selected_layers_31_top5,0.6430964211493777,0.5973163346444943,0.6063419254101927,2930025,0.5915412436859621
split_selected_layers_22_31_top1,0.6346354510838975,0.5828264719747243,0.595861468758799,2930025,0.5861460180407082
split_selected_layers_22_31_top3,0.6318254933888483,0.5805072689445404,0.5936505661214495,2930025,0.5858857314940875
split_selected_layers_22_31_top5,0.6438853563616517,0.5929263985495965,0.6030525336814533,2930025,0.5894886220106396
